name,pctwhite,pctblack,pctapi,pctaian,pcthispanic
,72.45,22,0.5,0.62,2.28
,71.29,22.63,0.51,1.05,2.22
,78.09,16.22,0.64,0.54,2.69
,64.31,29.49,0.5,0.87,2.37
,6.49,0.98,4.89,0.19,86.79
,2.52,0.39,94.47,0.02,0.65
,82.62,12.07,0.5,0.67,2.33
,75.58,18.5,0.49,0.91,2.44
,59.7,33.63,0.48,1.1,2.65
,66.03,27.9,0.53,0.82,2.41
,60.22,33.47,0.48,0.79,2.48
,5.02,0.21,0.65,0.94,92.96
,88.72,5.57,0.66,0.84,2.42
,51.58,38.86,1.27,2.58,3.08
,76.56,17.53,0.53,0.88,2.5
,68.68,25.13,0.54,0.91,2.41
,4.11,0.35,4.91,0.24,89.97
,5.17,0.44,1.03,0.22,92.89
,78.39,16.13,0.5,0.53,2.47
,73.93,20.51,0.51,0.66,2.24
,5.18,0.6,1.16,0.38,92.45
,4.92,0.72,3.04,0.59,90.26
,60.78,32.97,0.41,0.84,2.57
,2.1,0.38,94.78,0.65,0.44
,84.5,10.54,0.5,0.55,2.1
,79.88,12.1,2.48,1.32,2.24
,68.96,24.46,0.61,0.9,2.75
,69.65,23.94,0.55,0.88,2.65
,3.84,0.29,1.49,0.2,93.97
,67.2,27.12,0.46,0.62,2.31
,57.76,36.78,0.39,0.57,2.07
,68.32,25.2,0.57,0.81,2.67
,77.05,16.69,0.57,1.05,2.46
,87.73,7.13,0.6,0.57,2.39
,61.11,32.35,0.55,1.01,2.46
,49.43,44.6,0.4,0.53,2.25
,62.36,31.54,0.45,0.84,2.35
,59.63,33.98,0.45,0.86,2.51
,64.81,29.28,0.48,0.75,2.33
,9.83,0.99,3.8,0.76,84.06
,82.58,11.79,0.55,0.76,2.43
,5.06,0.51,0.73,0.29,93.17
,57.91,36.15,0.47,0.67,2.29
,8.65,0.5,1.3,0.69,88.5
,61.44,30.73,0.55,0.72,4.11
,67.27,26.8,0.47,0.68,2.43
,58.19,34.04,1.24,0.7,3.17
,70.21,23.71,0.54,0.8,2.45
,70.02,23.99,0.51,0.8,2.55
,81.08,13.21,0.52,0.71,2.45
,63.77,30.81,0.44,0.47,2.21
,69.24,24.7,0.51,0.77,2.47
,6.09,0.43,0.67,0.37,92.23
,75.48,18.48,0.49,0.83,2.45
,75.33,18.89,0.55,0.72,2.41
,69.38,24.69,0.49,0.81,2.29
,58.46,35.58,0.39,0.89,2.21
,4.92,0.36,0.96,0.51,93.03
,72.14,21.78,0.46,0.97,2.31
,70.36,23.47,0.54,0.66,2.73
,1.35,0.1,96,0.03,0.81
,5.69,0.6,1.92,0.3,91.16
,4.03,0.26,1.64,0.52,93.32
,81.44,11.82,0.64,1.33,2.74
,74.92,19.29,0.57,0.6,2.6
,62.05,32,0.45,0.61,2.37
,7.29,0.66,3.74,0.24,87.42
,66.03,27.51,0.58,0.96,2.58
,65.85,28.41,0.36,0.75,2.17
,68.66,24.45,0.52,1.39,2.7
,8.77,1.15,5.38,0.18,83.58
,76.65,17.28,0.55,0.78,2.73
,58.3,35.3,0.42,0.88,2.35
,5.17,87.53,0.3,0.68,2.54
,80.82,13.63,0.62,0.61,2.45
,74,20,0.49,0.87,2.41
,5.41,0.42,0.85,0.18,92.92
,61.43,30.68,0.84,1.87,2.84
,1.4,0.3,96.12,0.02,0.52
,65.5,28.34,0.52,0.95,2.3
,75.53,19.08,0.46,0.66,2.29
,70.01,24.17,0.45,0.78,2.35
,4.11,0.42,1.29,0.15,93.77
,80.26,14.06,0.59,0.78,2.48
,68.56,25.65,0.49,0.75,2.24
,94.76,0.4,0.66,0.72,2.03
,70.78,23.09,0.53,0.78,2.53
,68.57,25.4,0.55,0.72,2.45
,60.78,32.69,0.48,1.02,2.41
,64.25,29.15,0.62,0.68,3.04
,4.48,0.78,0.48,0.24,93.83
,32.61,2.03,2.01,0.39,61.34
,72.07,21.19,1.48,0.75,2.36
,94.07,1.46,0.59,0.52,1.92
,68.82,25.1,0.53,0.76,2.41
,54.25,39.26,0.43,0.96,2.49
,4.89,0.3,0.91,0.21,93.48
,73.57,16.93,0.61,4.23,2.31
,67.37,26.88,0.42,0.98,2.13
,56.79,37.28,0.42,0.76,2.38
,75.08,18.57,0.55,0.81,2.87
,92.47,2.6,0.58,0.54,2.41
,74.63,19,0.53,1.44,2.33
,73.42,20.61,0.52,0.89,2.46
,63.18,30.77,0.51,1.02,2.16
,82.08,11.61,0.72,0.64,2.96
,85.95,8.13,0.65,0.95,2.39
,5.62,0.27,1.69,0.46,91.65
,88.08,6.06,0.56,1.03,2.42
,70.08,23.94,0.55,0.84,2.33
,77.5,16.77,0.51,0.82,2.33
,94.84,0.52,0.71,0.29,2.28
,77.63,16.74,0.57,0.74,2.33
,95.15,0.37,0.61,0.34,2.34
,6.66,0.24,0.17,0.28,92.49
,54.67,38.54,0.51,0.91,2.7
,74.83,19.19,0.6,0.62,2.53
,82.42,11.88,0.52,0.76,2.43
,73.9,20.31,0.46,0.67,2.54
,5.15,0.48,0.44,0.26,93.45
,84.41,9.99,0.52,1.09,2.12
,91.65,3.02,0.89,0.43,2.55
,75.01,19.4,0.56,0.7,2.29
,71.55,22.63,0.45,0.58,2.42
,55.36,37.91,0.52,1.08,2.79
,80.08,14.39,0.75,0.59,2.25
,83.78,10.8,0.55,0.66,2.18
,69.41,23.22,0.76,1.47,2.67
,61.08,32.75,0.48,0.69,2.5
,81.27,13.34,0.57,0.55,2.41
,80.98,12.86,0.53,1.06,2.47
,3.53,0.35,0.18,0.06,95.75
,94.22,0.53,0.74,0.49,2.54
,82.86,10.41,0.98,1.33,2.55
,20.06,2.31,13.32,0.27,62.2
,80.54,13.64,0.56,0.73,2.52
,69.12,25.09,0.44,0.82,2.34
,72.31,21.61,0.52,0.9,2.5
,81.62,12.96,0.54,0.66,2.21
,73.16,21.18,0.53,0.48,2.58
,76.39,17.33,0.52,0.99,2.55
,72.39,21.01,0.58,0.93,2.79
,66.88,27.42,0.46,0.84,2.2
,82.95,11.48,0.61,0.67,2.36
,77.14,16.88,0.61,0.92,2.33
,72.79,21.27,0.51,0.87,2.48
,71.78,21.58,0.78,1.09,2.57
,4.29,0.33,0.53,0.23,94.42
,74.97,17.54,1.94,0.93,2.56
,5.57,0.72,0.8,0.19,92.47
,70.66,23.11,0.56,0.8,2.53
,69.45,24.6,0.53,0.73,2.37
,94.08,1.26,0.63,0.56,2.12
,91.62,2.41,0.68,0.83,2.62
,63.37,30.67,0.62,0.58,2.39
,5.34,0.52,1.09,0.31,92.5
,78.67,14.86,0.66,1.04,2.81
,4.19,0.21,0.55,0.25,94.64
,62.22,31.07,0.51,1.33,2.31
,86.21,8.49,0.57,0.68,2.18
,68.87,24.65,0.74,0.93,2.5
,5.29,0.21,0.55,1.77,91.93
,4.55,0.33,2.2,0.22,92.27
,66.47,18.46,7.62,2.24,3.16
,79.51,14.62,0.57,0.81,2.47
,4.99,0.44,0.43,0.32,93.61
,4.58,0.43,1.66,0.2,92.86
,4.77,0.29,1.15,0.43,93.11
,62.03,32.27,0.42,0.64,2.09
,67.7,26.54,0.48,0.73,2.21
,5.28,0.67,0.83,0.26,92.72
,80.96,13.29,0.5,0.93,2.35
,6.29,0.48,3.35,0.65,88.66
,67.9,26.22,0.49,0.72,2.31
,85.93,8.76,0.68,0.54,2.41
,94.79,0.49,0.74,0.62,1.95
,5.41,1.31,4.5,0.14,88.06
,4.97,0.5,0.4,0.19,93.71
,79.11,14.82,0.61,0.98,2.49
,54.38,38.76,0.54,0.83,2.7
,94.83,0.46,0.77,0.49,2.07
,67.47,26.01,0.61,0.8,2.78
,5.04,0.38,1.03,0.25,93.09
,73.61,20.82,0.49,0.59,2.41
,73.84,20.74,0.43,0.65,2.2
,74.28,16.71,0.59,3.75,2.52
,93.85,1.29,0.76,0.37,2.32
,82.3,11.74,0.59,1.07,2.52
,4.29,4.48,82.77,1.15,2.5
,5.53,0.56,0.73,0.22,92.68
,84.44,10.14,0.61,0.57,2.37
,67.86,26.23,0.59,0.61,2.35
,64.19,27.45,0.68,0.74,4.52
,93.97,0.44,0.73,0.82,2.64
,68,25,0.52,1.71,2.52
,77.17,17.41,0.5,0.7,2.27
,77.8,15.92,0.57,0.69,2.98
,76.61,16.82,1.06,0.68,2.63
,54.29,39.89,0.41,0.55,2.24
,4.03,0.23,0.38,0.27,94.91
,79.48,15.08,0.46,0.72,2.46
,1.49,0.19,96.78,0.02,0.63
,3.48,0.79,86.49,0.04,4
,59.83,34.1,0.61,0.56,2.62
,92.11,2.85,0.7,0.67,2.11
,1.49,0.23,95.59,0.03,0.75
,66.88,26.71,0.46,0.89,2.64
,69.96,24.45,0.44,0.6,2.2
,67.32,27.06,0.53,0.51,2.34
,73.22,21.06,0.6,0.63,2.33
,2.59,0.29,95.24,0.02,0.35
,94.29,1.29,0.63,0.36,2.18
,83.47,10.44,0.54,1.11,2.55
,4.12,0.37,0.76,0.12,94.46
,69.1,18.51,1.63,0.52,8.05
,5.1,0.54,2.83,0.37,90.7
,57.66,35.78,0.39,1.24,2.28
,23.34,0.79,72.98,0.16,1
,1.03,0.2,96.81,0.02,0.45
,70.11,24.26,0.44,1.26,2.01
,39.27,54.51,0.36,0.43,2.45
,6.15,0.4,2.1,0.79,90.16
,83.08,10.44,1.02,1.08,2.4
,94.48,1.11,0.65,0.23,2.2
,80.82,13.62,0.48,0.8,2.23
,94.81,0.7,0.59,0.41,2.22
,8.15,0.4,1.84,0.41,88.78
,81.41,12.89,0.48,0.96,2.16
,3.37,0.45,1.33,0.14,94.51
,84.38,10.08,0.65,0.65,2.35
,6.96,0.62,2.26,0.26,89.48
,81.3,12.64,0.42,1.35,2.19
,83.55,9.57,1.22,0.73,3.04
,76.77,17.67,0.46,0.57,2.37
,3.42,0.22,0.39,0.16,95.66
,83.03,11.08,0.61,0.69,2.6
,72.14,22.51,0.56,0.41,2.24
,77.9,15.84,0.53,1.03,2.57
,6,0.7,2.92,0.29,89.65
,58.62,34.67,0.52,0.7,2.8
,95.35,0.43,0.59,0.27,2.16
,29.59,54.19,9.76,0.99,2.98
,80.7,13.4,0.67,0.62,2.65
,6.66,0.38,4.04,0.23,88.14
,4.93,0.84,1,0.15,92.82
,91.4,3.86,0.57,0.46,2.26
,7.02,0.43,1.11,0.23,90.96
,64.94,29.08,0.47,0.74,2.34
,5.82,0.51,2.28,0.64,90.32
,78.79,15.1,0.74,1.16,2.27
,73.56,20.66,0.48,0.92,2.14
,7.11,0.39,1.38,0.21,90.52
,76.44,17.47,0.43,0.9,2.56
,75.35,18.9,0.55,0.76,2.41
,65.7,28.5,0.45,0.58,2.47
,68.05,26.18,0.42,0.74,2.29
,90.27,4.53,0.74,0.63,2.17
,83.66,9.88,0.59,1.3,2.79
,12.32,1.34,4.21,0.42,80.97
,59.01,34.59,0.36,1.3,2.11
,79.03,15.15,0.61,0.78,2.37
,4.37,0.54,0.47,0.2,94.25
,73.04,19.35,1.68,0.96,2.56
,56.1,37.36,0.4,1.36,2.27
,89.6,5.15,0.65,0.55,2.39
,62.1,31.84,0.6,0.68,2.16
,80.38,14.07,0.59,0.77,2.42
,78.64,15.56,0.57,0.75,2.49
,5.13,0.24,0.68,0.36,93.33
,72.77,21.7,0.48,0.68,2.13
,71.71,22.76,0.62,0.52,2.19
,74.76,20.04,0.48,0.62,2.17
,73.49,20.64,0.47,0.67,2.23
,95.93,0.44,0.57,0.21,1.89
,79.88,14.41,0.52,0.94,2.2
,70.87,23.06,0.7,0.66,2.45
,68.62,25.52,0.48,0.77,2.26
,9.93,0.54,1.23,0.78,87.11
,82.92,11.29,0.65,0.82,2.63
,88.89,5.97,0.66,0.11,3.29
,76.18,18.35,0.43,0.64,2.35
,64.14,2.43,0.7,0.79,30.81
,69.39,24.91,0.59,0.67,2.06
,78.25,15.6,0.53,1.15,2.43
,71.52,22.67,0.44,0.75,2.27
,94.89,0.52,0.66,0.34,2.33
,79.38,14.85,0.57,0.87,2.1
,6.64,1.04,8.31,0.21,83.06
,86.48,7.83,0.68,0.65,2.44
,66.28,27.34,0.56,0.7,2.68
,82.23,11.41,0.54,1.19,2.42
,9.99,2.95,1.04,0.37,85.21
,73.14,21.6,0.37,0.53,2.27
,77.85,16.24,0.79,0.77,2.41
,61.08,33.19,0.42,0.58,2.47
,69.99,24.3,0.52,0.69,2.23
,61.33,32.35,0.49,0.78,2.44
,74.88,19.17,0.5,1.01,2.34
,0.9,0.2,96.33,0.03,0.72
,69.64,24.19,0.48,0.71,2.6
,71.73,22.44,0.57,0.82,2.29
,67.42,27.08,0.46,0.62,2.06
,90.77,3.6,0.52,1.37,2.09
,84.22,10.24,0.65,0.61,2.41
,4.47,0.41,3.52,0.12,91.02
,68.84,25.18,0.4,0.88,2.34
,80.39,9.9,3.61,1.32,2.66
,93.84,2.32,0.52,0.3,1.85
,68.3,25.88,0.64,0.57,2.33
,5.67,0.37,1.14,0.3,92.28
,72.86,20.92,0.58,0.74,2.6
,75.12,18.93,0.66,0.65,2.62
,92.29,3.25,0.68,0.27,2.24
,56.49,37.03,0.54,0.51,2.53
,5.07,0.43,2.05,0.36,91.78
,3.31,0.16,0.91,0.18,95.31
,5.14,0.4,1.61,0.18,92.43
,95.05,0.37,0.65,0.57,1.92
,77.31,16.52,0.57,0.77,2.71
,2.37,0.87,88.84,0.03,3.71
,95.41,0.32,0.6,0.23,2.3
,5.55,0.25,0.9,0.19,92.88
,4.56,0.41,1.31,0.19,93.24
,76.87,17.25,0.52,0.93,2.43
,62.84,25.56,3.16,0.69,5.59
,65.09,22.51,2.75,0.67,7.06
,4.75,0.66,1.71,0.43,92.22
,61.47,32.34,0.5,1.2,2.22
,83.91,10.77,0.56,0.56,2.3
,5.1,0.25,1.25,0.2,92.94
,1.7,0.18,95.85,0.02,0.47
,72.52,19.66,0.72,2.33,2.45
,74.49,19.63,0.6,0.68,2.4
,83.57,10.56,0.59,1.02,2.33
,75.48,18.38,0.64,1.02,2.39
,82.08,11.96,0.55,0.68,2.71
,4.53,0.29,0.54,0.36,94.09
,65.6,27.84,0.6,0.79,2.88
,87.57,7.24,0.49,0.91,2.06
,1.79,0.17,95.62,0.02,0.54
,77.84,16.51,0.46,0.7,2.46
,59.48,30.3,2,2.07,3.78
,83.93,10.4,0.55,0.67,2.56
,66.99,20.13,6.25,2.05,2.67
,79.4,14.67,0.55,0.67,2.53
,92.81,2.12,0.75,0.33,2.61
,4.59,0.28,1.02,0.2,93.7
,15.32,0.57,1.16,0.72,81.43
,75.47,18.28,0.57,0.91,2.52
,4.95,0.56,1.53,0.16,92.55
,86.23,8.34,0.69,0.47,2.64
,69.73,24.71,0.48,0.68,2.28
,90.41,4.8,0.7,0.46,2.1
,2.75,0.75,89.32,0.05,4.58
,4.88,0.59,0.41,0.28,93.67
,6.89,3.86,81.25,0.54,2.2
,70.15,23.84,0.46,0.64,2.69
,5.62,0.7,2.9,0.13,90.34
,86.32,8.82,0.67,0.31,2.22
,3.63,0.3,2.39,0.21,93.21
,63.44,30.19,0.63,0.54,2.7
,94.42,0.36,0.73,0.6,2.38
,73.9,20.34,0.56,0.81,2.36
,65.23,13.96,13.43,0.59,4.74
,59.18,34.93,0.49,0.47,2.52
,87.99,7.08,0.58,0.53,2.38
,77.26,17.02,0.53,0.73,2.34
,62.25,31.53,0.45,0.73,2.32
,84.87,10.34,0.52,0.34,2.45
,89.12,5.66,0.66,0.49,2.39
,71.71,22.82,0.48,0.54,2.34
,75.66,18.42,0.62,0.68,2.56
,75.35,18.67,0.63,0.95,2.17
,66.05,28.24,0.44,0.58,2.62
,60.37,34.2,0.4,0.51,2.13
,71.21,22.58,0.56,0.84,2.68
,8.39,0.21,0.29,1.63,89.14
,87.2,8.02,0.38,0.84,1.72
,87.28,6.89,0.56,0.96,2.66
,78.33,15.83,0.57,1,2.43
,20.79,1.86,0.97,0.2,75.67
,73.5,19.75,0.62,1.38,2.51
,77.04,17.22,0.5,0.86,2.3
,94.34,0.87,0.61,0.4,2.56
,0.9,0.11,97.14,0.02,0.4
,89.07,5.13,0.56,0.78,2.5
,3.86,0.4,16.77,0.19,77.24
,8.65,0.26,0.87,1.4,88.44
,80.77,13.58,0.51,0.68,2.34
,1.37,0.18,96.37,0.02,0.48
,57.72,36.73,0.49,0.49,2.25
,88.75,6.86,0.36,0.52,1.74
,4.11,0.22,1.79,0.2,93.42
,67.31,26.77,0.56,0.71,2.46
,69.78,24.5,0.5,0.54,2.42
,55.59,38.34,0.61,0.84,2.12
,44.76,49.06,0.7,0.53,2.37
,82.74,11.57,0.63,0.98,2.33
,71.05,23.15,0.45,0.9,2.15
,73.41,20.9,0.48,0.56,2.57
,0.99,0.16,98.06,0.02,0.15
,11.26,0.8,0.58,0.5,86.59
,93.67,1.07,0.61,1.05,2.16
,5.32,0.5,3.28,1.21,89.23
,67.39,26.12,0.57,0.72,2.62
,15.82,0.63,1.74,0.32,81
,79.26,15.06,0.64,0.57,2.47
,94.62,0.69,0.64,0.3,2.5
,77.16,17.45,0.47,1.05,2.07
,78.23,16.09,0.64,0.69,2.19
,53.7,40.3,0.4,0.72,2.21
,67.7,26.42,0.47,0.79,2.38
,61.45,32.98,0.36,0.54,2.42
,78.63,15.55,0.58,0.71,2.38
,7.66,0.19,0.47,0.49,90.89
,61.02,32.1,0.63,0.38,3.56
,85.11,7.96,0.59,1.31,3.12
,95.36,0.32,0.59,0.49,2.11
,73.22,20.63,0.61,0.64,2.74
,73.39,20.68,0.56,0.85,2.39
,64.8,27.3,0.71,1.08,3.21
,6.09,0.57,2.9,0.16,89.56
,76.23,17.16,0.46,2.15,1.97
,68.97,25.07,0.63,0.63,2.44
,45.58,34.51,4.14,1.12,12.88
,7.58,1.89,0.31,0.14,89.75
,91.09,3.6,0.6,0.67,2.27
,84.54,7.96,0.99,2.23,2.68
,82.01,12.38,0.72,0.64,2.41
,52.58,41.73,0.51,0.48,2.24
,82.28,12.39,0.5,0.65,2.22
,77.4,17,0.59,0.57,2.43
,86.89,7.47,0.66,0.7,2.41
,65.41,29.21,0.41,0.68,2
,73.05,20.9,0.49,0.88,2.44
,2.95,0.15,1.24,0.12,95.32
,82.32,12,0.96,0.58,2.35
,61.96,30.99,0.54,1.35,2.46
,6.79,0.57,2.11,0.14,90.12
,83.4,11.53,0.47,0.6,2.27
,3.4,0.17,0.39,0.15,95.76
,6.46,0.38,2.05,0.31,90.22
,69.98,24.79,0.44,0.64,2.02
,65.85,28.29,0.49,0.69,2.42
,15.43,3.24,1.62,0.26,78.19
,95.1,0.39,0.59,0.38,2.38
,78.57,16.17,0.47,0.57,2.2
,71.27,22.86,0.44,0.76,2.71
,5.17,0.41,1.55,0.18,92.44
,88,6.33,0.65,0.56,2.61
,72.59,22.11,0.55,0.44,2.29
,95.66,0.31,0.64,0.24,2.02
,93.86,1.62,0.65,0.45,2.13
,85.75,8.1,0.66,1.11,2.45
,95.35,0.34,0.61,0.25,2.21
,74.28,19.88,0.44,0.8,2.57
,70.83,23.77,0.47,0.61,2.19
,67.78,25.72,0.79,0.68,2.31
,3.26,0.44,0.12,0.12,95.95
,87.84,6.55,0.55,1.19,2.12
,87.33,7.59,0.57,0.42,2.48
,84.22,10.43,0.42,0.74,2.21
,91.91,3.07,0.66,0.6,2.26
,80.58,14.07,0.49,0.54,2.25
,80.12,14.44,0.53,0.61,2.46
,82.74,12.04,0.54,0.57,2.22
,4.92,0.17,0.4,0.21,94.14
,4.25,0.43,12.29,0.26,81.77
,5.38,0.31,2.52,0.26,91.21
,78.04,15.69,0.62,1,2.63
,58.27,36,0.36,0.45,2.52
,91.78,2.37,0.73,0.87,2.54
,75.26,19.17,0.42,0.82,2.23
,81.36,10.38,3.31,0.59,2.52
,83.03,11.74,0.46,0.76,2.02
,6.45,0.23,0.19,0.15,92.85
,33.69,52.96,1.01,2.07,7.9
,79.55,14.92,0.52,0.62,2.34
,5.01,0.27,1.14,0.2,93.18
,77.21,17,0.75,0.6,2.33
,73.73,20.35,0.73,1.03,2.15
,3.29,0.32,5.28,0.12,90.67
,69.91,24.06,0.41,0.74,2.36
,5.24,0.58,6.85,0.14,86.55
,6.13,1.31,0.54,0.11,91.59
,78.64,15.94,0.54,0.89,2.04
,3.16,0.27,18.23,0.28,76.8
,17.33,30.71,42.91,0.51,2.87
,93.08,2.54,0.55,0.4,1.92
,86.1,8.62,0.7,0.54,2.29
,7.83,0.29,0.2,0.4,91.06
,64.64,28.63,0.69,0.74,3.03
,94.63,0.93,0.55,0.53,1.98
,62.1,32.08,0.34,0.87,2.33
,93.69,0.34,0.77,0.76,2.65
,85.29,9.05,0.5,1.24,2.24
,74,19.74,0.66,0.86,2.45
,69.34,24.62,0.53,0.8,2.29
,63.09,30.56,0.43,0.89,2.66
,93.42,1.33,0.76,0.44,2.51
,75.92,18.56,0.51,0.67,2.24
,3.59,0.94,91.74,0.34,0.7
,94.86,0.5,0.9,0.29,2.27
,74.25,19.89,0.54,0.62,2.54
,58.27,36.07,0.4,0.61,2.12
,5.96,0.29,1.55,0.2,91.73
,6.01,0.29,0.28,0.22,93.02
,53.12,40.28,0.4,0.63,2.77
,92.03,3.37,0.59,0.64,1.87
,84.12,10.24,0.59,0.86,2.18
,5.12,0.4,1.06,0.14,93.07
,7.38,0.45,1.07,0.26,90.59
,4.95,0.21,2.4,1.67,90.36
,81.33,11.79,0.64,0.63,3.83
,89.78,4.64,0.76,0.62,2.38
,95.58,0.38,0.65,0.2,2.24
,79.2,15.03,0.48,1.09,2.17
,69.18,24.53,0.49,0.77,2.72
,73.3,21.33,0.49,0.45,2.36
,78.93,14.8,0.54,1.1,2.34
,52.07,41.49,0.5,0.63,2.51
,72.25,21.67,0.61,0.78,2.41
,79.85,14.72,0.52,0.72,2.15
,69.14,25.47,0.45,0.53,2.18
,70.71,24.33,0.46,0.45,2.03
,93.96,0.9,0.51,0.58,2.45
,97.77,0.19,0.23,0.15,0.93
,66.97,27.39,0.47,0.6,2.15
,4.45,0.48,0.75,0.23,93.92
,80.9,13.52,0.6,0.67,2.25
,83.89,10.42,0.56,0.78,2.48
,4.96,0.99,0.48,0.22,93.08
,72.56,22.71,0.48,0.42,1.85
,51.34,42.78,0.38,0.52,2.23
,94.16,0.51,0.75,0.7,2.37
,79.78,15.39,0.42,0.55,1.85
,71.76,22.32,0.49,0.69,2.36
,65.85,28.28,0.46,0.71,2.31
,73.18,20.42,1.06,1.07,2.32
,6.84,0.57,87.99,0.05,2.56
,81.37,13.41,0.52,0.7,2.11
,16.45,0.83,0.8,0.34,81.08
,75.52,17.86,0.66,0.73,3.14
,17.45,74.24,0.4,1.9,2.47
,74.07,20.16,0.52,1,2.18
,62.88,29.27,0.5,1.53,3.28
,59.82,31.93,1.53,0.62,3.82
,63.55,31.31,0.36,0.65,1.99
,0.82,0.09,96.68,0.02,0.67
,74.65,19.07,0.64,1.16,2.3
,45.91,48.62,0.38,0.41,2.2
,82.37,10.56,1.29,1.38,2.34
,86.08,9.13,0.45,0.57,1.91
,61.94,32.65,0.29,0.59,2.33
,66.41,24.57,2.33,0.59,3.62
,79.34,15.03,0.48,0.66,2.53
,64.77,29.1,0.51,0.64,2.5
,70.35,23.46,0.9,0.57,2.75
,6.06,0.27,0.8,0.38,92.26
,86.1,8.21,0.75,0.81,2.31
,62.39,31.01,0.52,1.38,2.35
,85.9,9.16,0.5,0.73,1.93
,88.16,6.52,0.63,0.61,2.36
,67.71,27.05,0.46,0.52,2.1
,77.35,15.89,0.74,1.13,2.7
,79.31,13.96,0.55,0.55,3.9
,6.8,0.92,0.88,0.07,91.03
,3.73,0.26,0.18,0.18,95.53
,75.2,9.04,9.69,1.54,2.57
,78.93,13.95,1.4,0.63,3.12
,85.81,8.04,0.9,1,2.28
,68.67,24.92,0.43,0.65,2.9
,8.08,0.39,2.06,0.31,88.74
,89.5,4.89,0.65,0.66,2.53
,80.72,13.1,0.57,1.34,2.28
,4.85,0.29,0.71,0.4,93.54
,75.04,19.13,0.62,0.76,2.38
,81.84,11.39,0.72,1.47,2.5
,5.1,0.52,0.72,0.18,93.31
,90.6,4.76,0.56,0.39,2.38
,89.88,4.78,0.73,0.54,2.65
,75.71,18.63,0.42,0.67,2.49
,86.84,7.71,0.57,0.67,2.32
,85.15,8.65,0.98,1.18,2.22
,46.37,8.83,0.7,0.39,42.52
,85.1,9.68,0.52,0.6,2.29
,1.46,0.12,96.1,0.02,0.69
,62.97,31.57,0.43,0.42,2.09
,80.3,14.38,0.51,0.77,2.24
,92.05,3.31,0.73,0.3,2.1
,67.62,26.67,0.5,0.59,2.21
,74.63,15.36,4.24,0.73,2.83
,4.48,0.7,1.17,0.17,93.23
,5.11,0.6,0.42,0.16,93.54
,3.76,0.5,1.59,0.09,93.86
